date,name
2015-01-01,New Year's Day
2015-04-03,Good Friday
2015-04-05,Easter Sunday
2015-04-25,Freedom Day
2015-05-01,Labor Day
2015-06-04,Corpus Christi
2015-06-10,Portugal Day
2015-08-15,Assumption Day
2015-10-05,Republic Day
2015-11-01,All Saints' Day
2015-12-01,Restoration of Independence Day
2015-12-08,Immaculate Conception
2015-12-25,Christmas Day
2016-01-01,New Year's Day
2016-02-09,Carnival
2016-03-25,Good Friday
2016-03-27,Easter Sunday
2016-04-25,Freedom Day
2016-05-01,Labor Day
2016-05-26,Corpus Christi
2016-06-10,Portugal Day
2016-08-15,Assumption Day
2016-10-05,Republic Day
2016-11-01,All Saints' Day
2016-12-01,Restoration of Independence Day
2016-12-08,Immaculate Conception
2016-12-25,Christmas Day
2017-01-01,New Year's Day
2017-02-28,Carnival
2017-04-14,Good Friday
2017-04-16,Easter Sunday
2017-04-25,Freedom Day
2017-05-01,Labor Day
2017-06-10,Portugal Day
2017-06-15,Corpus Christi
2017-08-15,Assumption Day
2017-10-05,Republic Day
2017-11-01,All Saints' Day
2017-12-01,Restoration of Independence Day
2017-12-08,Immaculate Conception
2017-12-25,Christmas Day
2018-01-01,New Year's Day
2018-02-13,Carnival
2018-03-30,Good Friday
2018-04-01,Easter Sunday
2018-04-25,Freedom Day
2018-05-01,Labor Day
2018-05-31,Corpus Christi
2018-06-10,Portugal Day
2018-08-15,Assumption Day
2018-10-05,Republic Day
2018-11-01,All Saints' Day
2018-12-01,Restoration of Independence Day
2018-12-08,Immaculate Conception
2018-12-25,Christmas Day
2019-01-01,New Year's Day
2019-03-05,Carnival
2019-04-19,Good Friday
2019-04-21,Easter Sunday
2019-04-25,Freedom Day
2019-05-01,Labor Day
2019-06-10,Portugal Day
2019-06-20,Corpus Christi
2019-08-15,Assumption Day
2019-10-05,Republic Day
2019-11-01,All Saints' Day
2019-12-01,Restoration of Independence Day
2019-12-08,Immaculate Conception
2019-12-25,Christmas Day
2020-01-01,New Year's Day
2020-02-25,Carnival
2020-04-10,Good Friday
2020-04-12,Easter Sunday
2020-04-25,Freedom Day
2020-05-01,Labor Day
2020-06-10,Portugal Day
2020-06-11,Corpus Christi
2020-08-15,Assumption Day
2020-10-05,Republic Day
2020-11-01,All Saints' Day
2020-12-01,Restoration of Independence Day
2020-12-08,Immaculate Conception
2020-12-25,Christmas Day
2021-01-01,New Year's Day
2021-02-16,Carnival
2021-04-02,Good Friday
2021-04-04,Easter Sunday
2021-04-25,Freedom Day
2021-05-01,Labor Day
2021-06-03,Corpus Christi
2021-06-10,Portugal Day
2021-08-15,Assumption Day
2021-10-05,Republic Day
2021-11-01,All Saints' Day
2021-12-01,Restoration of Independence Day
2021-12-08,Immaculate Conception
2021-12-25,Christmas Day
2022-01-01,New Year's Day
2022-03-01,Carnival
2022-04-15,Good Friday
2022-04-17,Easter Sunday
2022-04-25,Freedom Day
2022-05-01,Labor Day
2022-06-10,Portugal Day
2022-06-16,Corpus Christi
2022-08-15,Assumption Day
2022-10-05,Republic Day
2022-11-01,All Saints' Day
2022-12-01,Restoration of Independence Day
2022-12-08,Immaculate Conception
2022-12-25,Christmas Day
2023-01-01,New Year's Day
2023-02-21,Carnival
2023-04-07,Good Friday
2023-04-09,Easter Sunday
2023-04-25,Freedom Day
2023-05-01,Labor Day
2023-06-08,Corpus Christi
2023-06-10,Portugal Day
2023-08-15,Assumption Day
2023-10-05,Republic Day
2023-11-01,All Saints' Day
2023-12-01,Restoration of Independence Day
2023-12-08,Immaculate Conception
2023-12-25,Christmas Day
2024-01-01,New Year's Day
2024-02-13,Carnival
2024-03-29,Good Friday
2024-03-31,Easter Sunday
2024-04-25,Freedom Day
2024-05-01,Labor Day
2024-05-30,Corpus Christi
2024-06-10,Portugal Day
2024-08-15,Assumption Day
2024-10-05,Republic Day
2024-11-01,All Saints' Day
2024-12-01,Restoration of Independence Day
2024-12-08,Immaculate Conception
2024-12-25,Christmas Day
2025-01-01,New Year's Day
2025-03-04,Carnival
2025-04-18,Good Friday
2025-04-20,Easter Sunday
2025-04-25,Freedom Day
2025-05-01,Labor Day
2025-06-10,Portugal Day
2025-06-19,Corpus Christi
2025-08-15,Assumption Day
2025-10-05,Republic Day
2025-11-01,All Saints' Day
2025-12-01,Restoration of Independence Day
2025-12-08,Immaculate Conception
2025-12-25,Christmas Day
